MP.name,Nature.of.membership,Start.of.term,End.of.term,State,Constituency,Political.party,Gender,Educational.qualifications,Educational.qualifications...details,Age,Debates,Private.Member.Bills,Questions,Attendance,Notes,National.Debates.average,National.Private.Member.Bills.average,National.Questions.average,National.Attendance.average,State.s.Debates.average,State.s.Private.Member.Bills..average,State.s.Questions.average,State.s.Attendance.average,Minister,MajorCriminal,Category,Immoveable,Moveable,MOV,Entitlement,Released,AvailablewInterest,Recommended,Sanctioned,Expenditure,ExpenditureReleasedPerc,Unspent
"Bhismashankar, Alias Kushal Tiwari",Elected,18-May-09,In office,Uttar Pradesh,Sant Kabir Nagar,Bahujan Samaj Party,Male,Inter/ Higher Secondary,,53,45,0,537,79%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,19300000,14300000,0.036827601,19,19.06,19.45,16.21,16.21,16.21,85.04,3.24
Bhola Singh,Elected,18-May-09,In office,Bihar,Nawada,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar",79,104,10,398,92%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,2700000,1979000,0.0600379,19,19.48,20.76,28.09,16.98,20.75,106.55,0.01
Bhudeo Choudhary,Elected,18-May-09,In office,Bihar,Jamui,Janata Dal (United),Male,Graduate,"B.A., LL.B.; Educated at T.N.V. Law College, Bhagalpur",54,35,0,448,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,SC,2350000,4354000,0.055666,19,19.48,19.76,27.01,19.75,19.75,101.41,0.01
Bibhu Prasad Tarai,Elected,18-May-09,In office,Orissa,Jagatsinghpur,Communist Party of India,Male,Post Graduate,"M.A., LL.B.; Madhusudan Law College, Cuttack and Utkal University, Bhubaneshwar, Orissa",49,26,0,224,82%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,SC,388000,582437,0.078037202,19,19,20.46,19.5,18.83,20.46,107.68,0
Bijoy Krishna Handique,Elected,18-May-09,In office,Assam,Jorhat,Indian National Congress,Male,Post Graduate,"M.A.; Educated at Calcutta University, Calcutta (West Bengal) ",79,0,0,1,92%,"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",22,0.4,182,76%,13.5,0.4,52,80%,1,0,GEN,3100000,2378122,0.0941955,19,19,19.08,17,17,17,89.47,2.08
Bijoya Chakravarty,Elected,18-May-09,In office,Assam,Gauhati,Bharatiya Janata Party,Female,Post Graduate,"M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",74,37,4,53,84%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%,0,0,GEN,1500000,370000,0.0106915,19,19,19.14,16.61,16.58,14.47,76.16,4.67
Biren Singh Engti,Elected,18-May-09,In office,Assam,Autonomous District,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Guwahati University, Assam",68,2,0,0,96%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%,0,0,ST,16100000,NA,0.1551286,19,16.5,17.25,17.09,17.09,16.06,97.33,1.19
Bishnu Pada Ray,Elected,18-May-09,In office,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatiya Janata Party,Male,Graduate,"B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",63,82,1,221,76%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,82,1,221,76%,0,1,GEN,612500,548049,0.0175776,19,20,24.06,77.6,21.82,23.29,116.45,0.77
Brij Bhushan Sharan Singh,Elected,18-May-09,In office,Uttar Pradesh,Kaiserganj,Samajwadi Party,Male,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",57,20,0,183,85%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,1,GEN,52400000,986685,0.12764101,19,19.06,19.71,19.45,19.45,19.52,102.4,0.19
C. L. Ruala,Elected,18-May-09,In office,Mizoram,Mizoram,Indian National Congress,Male,Post Graduate,"B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",78,2,0,12,96%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,2,0,12,96%,0,0,ST,1250000,804186,0.334227,19,19,19.19,19.19,19.19,19.19,101,0
C. P. Joshi,Elected,18-May-09,In office,Rajasthan,Bhilwara,Indian National Congress,Male,Doctorate,"M.Sc. (Physics.), M.A. (Psychology), L.LB. Ph.D.; Educated at M.B. College, Udaipur, Rajasthan",63,0,0,0,95%,"This MP was a Minister. He tendered his resignation on 16th Jun, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 5th Aug, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",4.3,0,35,76%,5.1,0,36,88%,1,0,GEN,13700000,5854233,0.17942441,19,19,19.5,19.54,18.83,18.8,98.95,0.7
C. R. Patil,Elected,18-May-09,In office,Gujarat,Navsari,Bharatiya Janata Party,Male,Certificate Course,"I.T.I; Educated at Industrial Training Institute, Surat",58,22,2,468,78%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%,0,1,GEN,1.96E+08,55400000,0.1750945,19,19.08,20.99,26.45,18.45,19.57,102.53,1.43
C. Rajendran,Elected,18-May-09,In office,Tamil Nadu,Chennai South,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A., B.L.; Educated at Madras Law College",53,48,0,411,75%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,24800000,1837844,0.045233302,19,16.53,17.24,18.99,17.09,16.55,100.15,0.69
C. Sivasami,Elected,18-May-09,In office,Tamil Nadu,Tiruppur,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.A.; Madurai Kamraj University (Tamil Nadu) ,56,58,0,700,75%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,1,GEN,NA,NA,0.1150659,19,19.03,19.49,19.87,18.58,18.06,94.92,1.43
Chandra Sekhar Kalva Kuntla Rao,Elected,18-May-09,In office,Andhra Pradesh,Mahabubnagar,Telangana Rashtra Samithi,Male,Post Graduate,"M.A. (Litt); Educated at Osmania University, Hyderabad, Andhra Pradesh",60,2,0,0,13%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,GEN,21300000,1406000,0.021784799,19,19,19.97,19.58,19.58,18.4,96.84,1.57
Chandrakant Bhaurao Khaire,Elected,18-May-09,In office,Maharashtra,Aurangabad,Shiv Sena,Male,Graduate,"B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",62,48,5,725,73%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,NA,3432540,0.0451537,19,19.35,20.98,24.15,20.8,19.3,99.72,1.68
Chandresh Kumari Katoch,Elected,18-May-09,In office,Rajasthan,Jodhpur,Indian National Congress,Female,Under Graduate,"Educated at Nazrath Convent School, St. Mary`s School, Puna, St. Hildas School, Ooty Educated at St. Hildas-Ooty",70,5,0,42,78%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,39.2,0.8,214,88%,1,0,GEN,1.2E+08,2266732,0.1442893,19,19,19.35,20.34,17.04,16.85,88.68,2.5
Chandu Lal Sahu,Elected,18-May-09,In office,Chhattisgarh,Mahasamund,Bharatiya Janata Party,Male,Graduate,"B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",54,16,0,68,78%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.6,0.5,183,60%,0,0,GEN,NA,NA,0.066315196,19,19.09,20.86,26.38,19.95,20.86,109.27,0
Charan Das Mahant,Elected,18-May-09,In office,Chhattisgarh,Korba,Indian National Congress,Male,Doctorate,"M.Sc., M.A., LL.B., Ph.D.; Educated at Motilal Vigyan Mahavidhyalay, Bhopal University and Barkatulla University, Bhopal (Madhya Pradesh) ",59,15,0,132,93%,"This MP was appointed a minister in Jul, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th Mar, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",15.9,0.4,119,76%,6.1,0.3,57,60%,1,0,GEN,NA,NA,0.027812,19,19.09,19.69,29.63,18.93,19.69,103.14,0
Chaudhary Lal Singh,Elected,18-May-09,In office,Jammu and Kashmir,Udhampur,Indian National Congress,Male,Graduate,"B.A.; Educated at Government Degree College, Kathua,; Jammu and Kashmir",55,84,0,261,84%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,44.4,0,96,88%,0,0,GEN,1E+06,789378,0.0218955,19,20,20.85,20.75,18.76,16.01,80.05,4.84
Chinta Mohan,Elected,18-May-09,In office,Andhra Pradesh,Tirupati,Indian National Congress,Male,Graduate,"M.B.B.S; Educated at Srivenkateswara Medical College, Tirupati (Andhra Pradesh) ",59,5,0,18,80%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,SC,4227900,1285000,0.0181586,19,19,20.61,19.87,20.02,20.56,108.21,0.05
Choudhury Mohan Jatua,Elected,18-May-09,In office,West Bengal,Mathurapur,All India Trinamool Congress,Male,Post Graduate,M.Com.; Educated at Kolkata University,75,0,0,0,34%,"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,9.5,0.1,43,72%,1,0,SC,2315000,270000,0.1239835,19,20.14,21.24,24.28,20.98,21.24,105.45,0
D. Napoleon,Elected,18-May-09,In office,Tamil Nadu,Perambalur,Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (History); Educated at St. Joseph's College, Trichy",50,0,0,0,4%,"This MP was a Minister. He tendered his resignation on 20th Mar, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 21st Mar, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",4.7,0,47,76%,6.7,0,85,69%,1,0,GEN,NA,22200000,0.093249798,19,19.03,19.39,19.51,18.69,16.65,87.51,2.74
D.B. Chandre Gowda,Elected,18-May-09,In office,Karnataka,Bangalore North,Bharatiya Janata Party,Male,Post Graduate,"B.Sc, LL.B., Educated at Mudigere High School, Intermediate College Chikmagalur, Renukacharya College, Bangalore and R. L. Law College, Belgaum",77,7,0,750,59%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,GEN,18800000,2015749,0.0595663,19,19.61,19.86,19.61,19.61,17.31,88.28,2.55
Daggubati Purandeswari,Elected,18-May-09,In office,Andhra Pradesh,Visakhapatnam,Indian National Congress,Female,Graduate,B.A. (Literature) and Graduate in Gemology; Educated at South Indian Educational Trust and; Women College (Chennai) and Gemological Institute of India,54,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,99200000,99800000,0.065878302,19,19,19.99,22.86,19.62,18.97,99.84,1.02
Danapal Venugopal,Elected,18-May-09,In office,Tamil Nadu,Tiruvannamalai,Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"Educated at Danish Mission High School, Tiruvannamalai, Tamil Nadu",82,27,0,5,66%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,5E+07,2010000,0.1764331,19,19.03,19.8,24.26,19.42,19.8,104.07,0
Dara Singh Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Ghosi,Bahujan Samaj Party,Male,Graduate,,50,130,0,92,92%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,1,GEN,1400000,500115,0.079576701,19,19.06,19.53,27.42,19.69,16.9,88.66,2.63
Darshana Vikram Jardosh,Elected,18-May-09,In office,Gujarat,Surat,Bharatiya Janata Party,Female,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",53,71,0,337,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%,0,0,GEN,7230000,1950509,0.1074999,19,19.08,20.5,23.38,20.22,19,99.6,1.5
Datta Raghobaji Meghe,Elected,18-May-09,In office,Maharashtra,Wardha,Indian National Congress,Male,Graduate,"B.A.; Educated at Nagpur University, Nagpur (Maharashtra) ",77,59,0,308,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,1.87E+08,46300000,0.1247094,19,19.35,20.79,27.15,21.63,18.66,96.41,2.13
Davidson J. Helen,Elected,18-May-09,In office,Tamil Nadu,Kanniyakumari,Dravida Munnetra Kazhagam,Female,Post Graduate,"M.Sc. (Math), B.Ed; Manomanian Sundaranar University and Annamalai University",42,47,0,193,82%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,3750000,9085728,0.0857912,19,19.03,19.44,22.69,18.91,18.85,99.08,0.59
Dayanidhi Maran,Elected,18-May-09,In office,Tamil Nadu,Chennai Central,Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Loyola College, Chennai (Tamil Nadu) ",47,1,0,0,62%,"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",22,0.4,182,76%,30.3,0.3,263,69%,1,0,GEN,NA,NA,0.054811001,19,11.53,12.2,16.17,13.59,11.73,101.77,0.47
Deepa Dashmunsi,Elected,18-May-09,In office,West Bengal,Raiganj,Indian National Congress,Female,Post Graduate,"M.A. (Dramatics); Educated at Rabindra Bharati University, West Bengal",52,9,0,328,79%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,34,0.7,132,72%,1,0,GEN,2125000,12900000,0.1171005,19,20.14,22.07,19.32,19.02,19.57,97.16,2.5
Deepender Singh Hooda,Elected,18-May-09,In office,Haryana,Rohtak,Indian National Congress,Male,Post Graduate,"B.Tech., M.B.A.; Educated at University at Birla Institute, M.D. University, Rohtak (Haryana) and Kelley School of Business, Indiana University, Bloomington, USA",36,16,1,83,81%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%,0,0,GEN,45800000,23300000,0.53322488,19,19,19.68,23.12,19.73,19.66,103.47,0.02
Deoraj Singh Patel,Elected,18-May-09,In office,Madhya Pradesh,Rewa,Bahujan Samaj Party,Male,Post Graduate,"M.A., LL.B.; Educated at Avadesh Pratap Singh University, Rewa, Madhya Pradesh",45,11,0,112,89%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,GEN,18300000,1.3E+07,0.0066613,19,19.03,19.67,25.45,19.66,19.3,101.39,0.37
Devendra Nagpal,Elected,18-May-09,In office,Uttar Pradesh,Amroha,Rashtriya Lok Dal,Male,Graduate,"Educated at KGK College, Moradabad, Uttar Pradesh",43,9,0,43,53%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,1,GEN,98300000,34100000,0.1303618,19,19.06,19.67,20.91,19.35,19.68,103.24,-0.01
Devidhan Besra,Elected,18-May-09,In office,Jharkhand,Rajmahal,Bharatiya Janata Party,Male,Matric,"Educated at Paligram Vidya Mandir, Birbhum",74,2,0,0,69%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%,0,0,ST,3980000,957102,0.013938,19,11.64,11.84,14,11.5,11.84,101.69,0
Devji Patel,Elected,18-May-09,In office,Rajasthan,Jalore,Bharatiya Janata Party,Male,Matric,,37,109,0,420,78%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%,0,0,GEN,6740000,4259330,0.086226597,19,19,19.44,19.16,19.16,16.27,85.63,3.17
Dhananjay Singh,Elected,18-May-09,In office,Uttar Pradesh,Jaunpur,Bahujan Samaj Party,Male,Post Graduate,M.A.(Political Science),38,52,0,241,65%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,1,GEN,NA,5007656,0.1051839,19,16.56,17.09,23.96,15.93,13.66,82.48,3.43
Dharmendra Yadav,Elected,18-May-09,In office,Uttar Pradesh,Badaun,Samajwadi Party,Male,Post Graduate,"M.A., L.L.B.; Educated at Allahabad University, Allahabad, Uttar Pradesh",35,19,0,973,72%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,1052854,4629445,0.0441362,19,19.06,19.37,19,16.12,14.58,76.49,4.79
Dhruva Narayana Rangaswamy,Elected,18-May-09,In office,Karnataka,Chamrajanagar,Indian National Congress,Male,Post Graduate,"M.Sc. (Agriculture); Educated at University of Agricultural Sciences, Bangalore",52,71,0,666,76%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,SC,11300000,5436443,0.0041101,19,19.61,20.22,19.27,19.27,18.5,94.35,1.72
Dilip Kumar Mansukhlal Gandhi,Elected,18-May-09,In office,Maharashtra,Ahmednagar,Bharatiya Janata Party,Male,Matric,"S.S.C.; Educated at Pune University, Pune (Maharashtra)",62,48,0,278,68%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,1,GEN,2334140,3055916,0.059380099,19,19.35,20.9,25.74,20.19,19.19,99.15,1.71
Dinesh Chandra Yadav,Elected,18-May-09,In office,Bihar,Khagaria,Janata Dal (United),Male,Diploma Course,"D.C.E. (Civil), I.A.; Educated at Government Polytechnic, Saharsa and C.M. Science College, Madhipura, Bihar",63,50,0,438,89%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,2375000,1935253,0.2220147,19,19.48,20.82,32.66,20.4,20.81,106.85,0.01
Dinesh Trivedi,Elected,18-May-09,In office,West Bengal,Barrackpur,All India Trinamool Congress,Male,Post Graduate,M.B.A.,63,3,0,0,78%,"This MP was a Minister. He tendered his resignation on 18th Mar, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th Mar, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",16.1,0.3,134,76%,16.4,0.1,71,72%,1,0,GEN,9350000,17900000,0.064397797,19,20.14,21.16,23.58,22.15,21.12,104.85,0.04
Dinsha J. Patel,Elected,18-May-09,In office,Gujarat,Kheda,Indian National Congress,Male,Matric,,76,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,2450000,25200000,0.0014038,19,19.08,20.77,21.42,20.53,20.76,108.82,0.01
Dip Gogoi,Elected,18-May-09,In office,Assam,Kaliabor,Indian National Congress,Male,Graduate,B.Sc.,62,0,0,0,79%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%,0,0,GEN,3377620,790010,0.1582291,19,16.5,16.54,18.66,16.25,14.56,88.24,1.98
Dudhgaonkar Ganeshrao Nagorao,Elected,18-May-09,In office,Maharashtra,Parbhani,Shiv Sena,Male,Graduate,"B.A., LL.B.",68,45,0,418,92%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,80000,1,0.075130403,19,19.35,20.93,21.25,20.37,19.4,100.24,1.53
Dushyant Singh,Elected,18-May-09,In office,Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,Male,Post Graduate,"B.A. , M.B.A. (Hotel Administration) and P.G. Diploma in Hotel Operations; Educated at Doon School, Dehradun,; St. Stephen`s College, Delhi, Johnson and Wales University, Providence, RI, USA and IHTTI School of Mangaement, Neuchatel, Switzerland, ",40,31,0,351,75%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%,0,0,GEN,45800000,18300000,0.060606901,19,19,19.3,20.55,18.87,16.65,87.63,2.65
E. Ahamed,Elected,18-May-09,In office,Kerala,Malappuram,Muslim League Kerala State Committee,Male,Graduate,"B.A., B.L.; Educated at Government Brennen College, Tellicherry and Government Law College, Thiruvananthapuram (Kerala) ",75,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,3600000,2487779,0.1475901,19,19.6,21.22,23.52,20.65,21.22,108.27,0
